GSE43877,1
GSE34528,1
GSE34767,1
GSE23973,1
GSE24182,1
GSE37132,1
GSE37169,1
GSE39896,1
GSE44264,1
GSE49403,1
GSE49405,1
GSE56936,1
GSE16226,1
GSE45158,1
GSE40122,1
GSE40123,1
GSE58161,1
GSE57786,1
GSE32876,1
GSE46721,1
GSE16571,1
GSE16574,1
GSE16962,1
GSE18651,1
GSE37185,1
GSE28456,1
GSE37729,1
GSE48796,1
GSE48798,1
GSE14847,1
GSE43195,1
GSE45362,1
GSE41576,1
GSE41578,1
GSE40058,1
GSE40059,1
GSE35668,1
GSE42823,1
GSE47186,1
GSE48063,1
GSE20543,1
GSE19680,1
GSE13460,1
GSE53909,1
GSE34454,1
GSE34482,1
GSE28810,1
GSE25162,1
GSE17315,1
GSE17362,1
GSE46022,1
GSE46059,1
GSE34456,1
GSE50980,1
GSE34455,1
GSE31620,1
GSE18545,1
GSE44239,1
GSE12615,1
GSE19777,1
GSE31297,1
GSE24522,1
GSE13296,1
GSE20668,1
GSE40458,1
GSE26662,1
GSE26666,1
GSE33952,1
GSE27718,1
GSE38956,1
GSE50249,1
GSE38581,1
GSE42749,1
GSE48468,1
GSE12091,1
GSE12100,1
GSE36801,1
GSE36803,1
GSE32999,1
GSE34846,1
GSE38593,1
GSE13674,1
GSE12011,1
GSE12039,1
GSE44693,1
GSE44694,1
GSE15281,1
GSE22143,1
GSE22147,1
GSE18510,1
GSE18512,1
GSE45627,1
GSE29496,1
GSE21132,1
GSE41573,1
GSE41575,1
GSE26332,1
GSE12092,1
GSE23905,1
GSE23921,1
GSE16700,1
GSE16709,1
GSE33538,1
GSE16908,1
GSE6207,1
GSE49559,1
GSE20637,1
GSE21901,1
GSE16568,1
GSE52674,1
GSE36565,1
GSE36966,1
GSE46699,0
GSE53757,0
GSE36957,0
GSE40435,0
GSE47352,0
GSE51627,1
GSE32297,1
GSE32298,1
GSE35417,1
GSE29609,0
GSE33371,0
GSE26574,0
GSE19982,0
GSE20491,1
GSE20896,0
GSE21816,0
GSE22541,0
GSE22563,1
GSE23627,0
GSE23629,0
GSE10320,0
GSE10927,0
GSE12114,0
GSE14378,0
GSE14762,0
GSE15641,0
GSE11024,0
GSE11151,0
GSE11904,0
GSE11985,0
GSE12090,0
GSE12606,0
GSE8289,1
GSE7023,0
GSE2712,0
GSE2748,0
GSE2700,1
GSE34437,0
GSE43974,0
GSE46474,0
GSE15296,0
GSE36059,0
GSE37838,0
GSE47097,0
GSE48581,0
GSE50058,0
GSE52694,0
GSE14346,0
GSE41485,1
GSE25902,0
GSE12682,0
GSE14328,0
GSE14630,0
GSE20300,0
GSE21785,0
GSE22229,0
GSE22459,0
GSE19130,0
GSE12187,0
GSE10419,0
GSE11166,0
GSE7392,0
GSE3297,0
GSE1563,0
